"상품군별(1)","시점",인터넷쇼핑,모바일쇼핑
"컴퓨터 및 주변기기","2020.01",332810,273459
"컴퓨터 및 주변기기","2020.02",358997,315829
"컴퓨터 및 주변기기","2020.03",401374,357883
"컴퓨터 및 주변기기","2020.04",388215,331746
"컴퓨터 및 주변기기","2020.05",323924,290304
"컴퓨터 및 주변기기","2020.06",328080,256409
"컴퓨터 및 주변기기","2020.07",342726,284750
"컴퓨터 및 주변기기","2020.08",340705,314597
"컴퓨터 및 주변기기","2020.09",379361,332423
"컴퓨터 및 주변기기","2020.10",339603,276244
"컴퓨터 및 주변기기","2020.11",394626,341688
"컴퓨터 및 주변기기","2020.12",499998,415380
"컴퓨터 및 주변기기","2021.01",439730,446647
"컴퓨터 및 주변기기","2021.02",413960,435721
"컴퓨터 및 주변기기","2021.03",448924,422166
"컴퓨터 및 주변기기","2021.04",385886,346865
"컴퓨터 및 주변기기","2021.05",358402,370299
"컴퓨터 및 주변기기","2021.06",358087,305492
"컴퓨터 및 주변기기","2021.07",398976,352086
"컴퓨터 및 주변기기","2021.08",405435,368794
"컴퓨터 및 주변기기","2021.09",361370,374921
"컴퓨터 및 주변기기","2021.10",389970,339560
"컴퓨터 및 주변기기","2021.11",440303,392196
"컴퓨터 및 주변기기","2021.12",504938,456349
"컴퓨터 및 주변기기","2022.01",426178,430931
"컴퓨터 및 주변기기","2022.02",442616,501035
"컴퓨터 및 주변기기","2022.03",436962,458719
"컴퓨터 및 주변기기","2022.04",361297,355706
"컴퓨터 및 주변기기","2022.05",360368,373986
"컴퓨터 및 주변기기","2022.06",329328,308813
"컴퓨터 및 주변기기","2022.07",353768,345344
"컴퓨터 및 주변기기","2022.08",357832,368174
"컴퓨터 및 주변기기","2022.09",337087,347713
"컴퓨터 및 주변기기","2022.10",344168,327593
"컴퓨터 및 주변기기","2022.11",397312,403671
"컴퓨터 및 주변기기","2022.12",412450,350329
"컴퓨터 및 주변기기","2023.01",375141,409973
"컴퓨터 및 주변기기","2023.02",423478,467504
"컴퓨터 및 주변기기","2023.03",437403,428409
"컴퓨터 및 주변기기","2023.04",346698,330337
"컴퓨터 및 주변기기","2023.05",341423,368985
"컴퓨터 및 주변기기","2023.06",327989,310753
"컴퓨터 및 주변기기","2023.07",339051,336714
"컴퓨터 및 주변기기","2023.08",336671,340850
"컴퓨터 및 주변기기","2023.09",319041,327036
"컴퓨터 및 주변기기","2023.10",326641,311398
"컴퓨터 및 주변기기","2023.11",374888,385096
"컴퓨터 및 주변기기","2023.12",379723,362551
"컴퓨터 및 주변기기","2024.01",441757,454339
"컴퓨터 및 주변기기","2024.02",408551,446173
"컴퓨터 및 주변기기","2024.03",406108,436810
"컴퓨터 및 주변기기","2024.04",347413,347114
"컴퓨터 및 주변기기","2024.05",334856,363739
"컴퓨터 및 주변기기","2024.06",362861,316252
"컴퓨터 및 주변기기","2024.07",318073,315246
"컴퓨터 및 주변기기","2024.08",271519,322948
"컴퓨터 및 주변기기","2024.09",262201,318383
"컴퓨터 및 주변기기","2024.10",274524,301845
"컴퓨터 및 주변기기","2024.11",330008,408261
"컴퓨터 및 주변기기","2024.12",344730,352330
"컴퓨터 및 주변기기","2025.01",330553,420222
"컴퓨터 및 주변기기","2025.02",396420,450867
"컴퓨터 및 주변기기","2025.03",366193,439505
"컴퓨터 및 주변기기","2025.04",308864,352176
"컴퓨터 및 주변기기","2025.05",271009,353679
"컴퓨터 및 주변기기","2025.06",258121,331518
"컴퓨터 및 주변기기","2025.07",289279,358858
"컴퓨터 및 주변기기","2025.08",265414,376688
