"출입국항별","내외국인별","시점","성별","항목",데이터
"인천공항","내국인","2001","남자","입국자",70444
"인천공항","내국인","2001","남자","출국자",96551
"인천공항","내국인","2001","여자","입국자",69542
"인천공항","내국인","2001","여자","출국자",103115
"인천공항","내국인","2002","남자","입국자",101032
"인천공항","내국인","2002","남자","출국자",124319
"인천공항","내국인","2002","여자","입국자",102880
"인천공항","내국인","2002","여자","출국자",136808
"인천공항","내국인","2003","남자","입국자",102093
"인천공항","내국인","2003","남자","출국자",125215
"인천공항","내국인","2003","여자","입국자",106827
"인천공항","내국인","2003","여자","출국자",138674
"인천공항","내국인","2004","남자","입국자",105204
"인천공항","내국인","2004","남자","출국자",134224
"인천공항","내국인","2004","여자","입국자",109738
"인천공항","내국인","2004","여자","출국자",147222
"인천공항","내국인","2005","남자","입국자",115751
"인천공항","내국인","2005","남자","출국자",149303
"인천공항","내국인","2005","여자","입국자",121853
"인천공항","내국인","2005","여자","출국자",161084
"인천공항","내국인","2006","남자","입국자",131321
"인천공항","내국인","2006","남자","출국자",164182
"인천공항","내국인","2006","여자","입국자",134263
"인천공항","내국인","2006","여자","출국자",174412
"인천공항","내국인","2007","남자","입국자",141105
"인천공항","내국인","2007","남자","출국자",172152
"인천공항","내국인","2007","여자","입국자",144269
"인천공항","내국인","2007","여자","출국자",178329
"인천공항","내국인","2008","남자","입국자",152644
"인천공항","내국인","2008","남자","출국자",169465
"인천공항","내국인","2008","여자","입국자",154104
"인천공항","내국인","2008","여자","출국자",172990
"인천공항","내국인","2009","남자","입국자",156396
"인천공항","내국인","2009","남자","출국자",145609
"인천공항","내국인","2009","여자","입국자",155340
"인천공항","내국인","2009","여자","출국자",148251
"인천공항","내국인","2010","남자","입국자",145965
"인천공항","내국인","2010","남자","출국자",150172
"인천공항","내국인","2010","여자","입국자",148001
"인천공항","내국인","2010","여자","출국자",156301
"인천공항","내국인","2011","남자","입국자",149233
"인천공항","내국인","2011","남자","출국자",151081
"인천공항","내국인","2011","여자","입국자",148994
"인천공항","내국인","2011","여자","출국자",151129
"인천공항","내국인","2012","남자","입국자",443102
"인천공항","내국인","2012","남자","출국자",452870
"인천공항","내국인","2012","여자","입국자",437507
"인천공항","내국인","2012","여자","출국자",452298
"인천공항","내국인","2013","남자","입국자",145652
"인천공항","내국인","2013","남자","출국자",151941
"인천공항","내국인","2013","여자","입국자",137220
"인천공항","내국인","2013","여자","출국자",141817
"인천공항","내국인","2014","남자","입국자",145019
"인천공항","내국인","2014","남자","출국자",140468
"인천공항","내국인","2014","여자","입국자",130075
"인천공항","내국인","2014","여자","출국자",134910
"인천공항","내국인","2015","남자","입국자",138858
"인천공항","내국인","2015","남자","출국자",138947
"인천공항","내국인","2015","여자","입국자",124534
"인천공항","내국인","2015","여자","출국자",135295
"인천공항","내국인","2016","남자","입국자",136025
"인천공항","내국인","2016","남자","출국자",132641
"인천공항","내국인","2016","여자","입국자",124538
"인천공항","내국인","2016","여자","출국자",132421
"인천공항","내국인","2017","남자","입국자",132564
"인천공항","내국인","2017","남자","출국자",125305
"인천공항","내국인","2017","여자","입국자",121114
"인천공항","내국인","2017","여자","출국자",130748
"인천공항","내국인","2018","남자","입국자",134600
"인천공항","내국인","2018","남자","출국자",122582
"인천공항","내국인","2018","여자","입국자",132624
"인천공항","내국인","2018","여자","출국자",127123
"인천공항","내국인","2019","남자","입국자",130763
"인천공항","내국인","2019","남자","출국자",119872
"인천공항","내국인","2019","여자","입국자",126055
"인천공항","내국인","2019","여자","출국자",126747
"인천공항","내국인","2020","남자","입국자",215308
"인천공항","내국인","2020","남자","출국자",103601
"인천공항","내국인","2020","여자","입국자",192236
"인천공항","내국인","2020","여자","출국자",80683
"인천공항","내국인","2021","남자","입국자",108753
"인천공항","내국인","2021","남자","출국자",112505
"인천공항","내국인","2021","여자","입국자",79094
"인천공항","내국인","2021","여자","출국자",98314
"인천공항","내국인","2022","남자","입국자",98654
"인천공항","내국인","2022","남자","출국자",133287
"인천공항","내국인","2022","여자","입국자",86959
"인천공항","내국인","2022","여자","출국자",130722
"인천공항","내국인","2023","남자","입국자",97746
"인천공항","내국인","2023","남자","출국자",113276
"인천공항","내국인","2023","여자","입국자",95233
"인천공항","내국인","2023","여자","출국자",118599
"인천공항","내국인","2024","남자","입국자",118636
"인천공항","내국인","2024","남자","출국자",107361
"인천공항","내국인","2024","여자","입국자",117094
"인천공항","내국인","2024","여자","출국자",112053
"인천공항","외국인","2001","남자","입국자",60699
"인천공항","외국인","2001","남자","출국자",44548
"인천공항","외국인","2001","여자","입국자",47963
"인천공항","외국인","2001","여자","출국자",28348
"인천공항","외국인","2002","남자","입국자",77745
"인천공항","외국인","2002","남자","출국자",58784
"인천공항","외국인","2002","여자","입국자",57354
"인천공항","외국인","2002","여자","출국자",38709
"인천공항","외국인","2003","남자","입국자",85643
"인천공항","외국인","2003","남자","출국자",81678
"인천공항","외국인","2003","여자","입국자",54732
"인천공항","외국인","2003","여자","출국자",52410
"인천공항","외국인","2004","남자","입국자",86848
