"행정구역","2025년12월_거주자 인구수","2025년12월_세대수","2025년12월_남자 인구수","2025년12월_여자 인구수"
"부산광역시  (2600000000)","3,228,238","1,563,672","1,568,363","1,659,875"
"부산광역시 중구 (2611000000)","36,223","23,019","17,509","18,714"
"부산광역시 서구 (2614000000)","101,406","53,063","48,583","52,823"
"부산광역시 동구 (2617000000)","83,352","45,834","40,406","42,946"
"부산광역시 영도구 (2620000000)","101,104","52,920","49,559","51,545"
"부산광역시 부산진구 (2623000000)","363,555","187,206","173,661","189,894"
"부산광역시 동래구 (2626000000)","272,339","122,051","131,031","141,308"
"부산광역시 남구 (2629000000)","249,640","118,049","121,066","128,574"
"부산광역시 북구 (2632000000)","262,076","121,328","128,316","133,760"
"부산광역시 해운대구 (2635000000)","370,561","168,207","177,285","193,276"
"부산광역시 사하구 (2638000000)","285,207","138,917","141,285","143,922"
"부산광역시 금정구 (2641000000)","205,802","103,965","100,014","105,788"
"부산광역시 강서구 (2644000000)","150,008","65,069","77,479","72,529"
"부산광역시 연제구 (2647000000)","211,062","99,709","100,535","110,527"
"부산광역시 수영구 (2650000000)","168,062","86,830","78,676","89,386"
"부산광역시 사상구 (2653000000)","193,412","98,011","96,544","96,868"
"부산광역시 기장군 (2671000000)","174,429","79,494","86,414","88,015"
