"시점","시도별","성별","연령계층별",데이터
"2015.1/4","서울특별시","남자","20 - 29세",322
"2015.1/4","서울특별시","남자","30 - 39세",752
"2015.1/4","서울특별시","남자","40 - 49세",750
"2015.1/4","서울특별시","남자","50 - 59세",669
"2015.1/4","서울특별시","남자","60세이상",366
"2015.1/4","서울특별시","여자","20 - 29세",468
"2015.1/4","서울특별시","여자","30 - 39세",509
"2015.1/4","서울특별시","여자","40 - 49세",513
"2015.1/4","서울특별시","여자","50 - 59세",502
"2015.1/4","서울특별시","여자","60세이상",244
"2015.1/4","부산광역시","남자","20 - 29세",111
"2015.1/4","부산광역시","남자","30 - 39세",219
"2015.1/4","부산광역시","남자","40 - 49세",245
"2015.1/4","부산광역시","남자","50 - 59세",246
"2015.1/4","부산광역시","남자","60세이상",139
"2015.1/4","부산광역시","여자","20 - 29세",112
"2015.1/4","부산광역시","여자","30 - 39세",131
"2015.1/4","부산광역시","여자","40 - 49세",175
"2015.1/4","부산광역시","여자","50 - 59세",184
"2015.1/4","부산광역시","여자","60세이상",98
"2015.1/4","대구광역시","남자","20 - 29세",74
"2015.1/4","대구광역시","남자","30 - 39세",158
"2015.1/4","대구광역시","남자","40 - 49세",198
"2015.1/4","대구광역시","남자","50 - 59세",179
"2015.1/4","대구광역시","남자","60세이상",85
"2015.1/4","대구광역시","여자","20 - 29세",88
"2015.1/4","대구광역시","여자","30 - 39세",104
"2015.1/4","대구광역시","여자","40 - 49세",141
"2015.1/4","대구광역시","여자","50 - 59세",125
"2015.1/4","대구광역시","여자","60세이상",60
"2015.1/4","인천광역시","남자","20 - 29세",98
"2015.1/4","인천광역시","남자","30 - 39세",222
"2015.1/4","인천광역시","남자","40 - 49세",233
"2015.1/4","인천광역시","남자","50 - 59세",202
"2015.1/4","인천광역시","남자","60세이상",83
"2015.1/4","인천광역시","여자","20 - 29세",106
"2015.1/4","인천광역시","여자","30 - 39세",124
"2015.1/4","인천광역시","여자","40 - 49세",162
"2015.1/4","인천광역시","여자","50 - 59세",138
"2015.1/4","인천광역시","여자","60세이상",63
"2015.1/4","광주광역시","남자","20 - 29세",51
"2015.1/4","광주광역시","남자","30 - 39세",105
"2015.1/4","광주광역시","남자","40 - 49세",122
"2015.1/4","광주광역시","남자","50 - 59세",93
"2015.1/4","광주광역시","남자","60세이상",45
"2015.1/4","광주광역시","여자","20 - 29세",51
"2015.1/4","광주광역시","여자","30 - 39세",68
"2015.1/4","광주광역시","여자","40 - 49세",83
"2015.1/4","광주광역시","여자","50 - 59세",64
"2015.1/4","광주광역시","여자","60세이상",30
"2015.1/4","대전광역시","남자","20 - 29세",61
"2015.1/4","대전광역시","남자","30 - 39세",108
"2015.1/4","대전광역시","남자","40 - 49세",121
"2015.1/4","대전광역시","남자","50 - 59세",104
"2015.1/4","대전광역시","남자","60세이상",45
"2015.1/4","대전광역시","여자","20 - 29세",59
"2015.1/4","대전광역시","여자","30 - 39세",69
"2015.1/4","대전광역시","여자","40 - 49세",83
"2015.1/4","대전광역시","여자","50 - 59세",75
"2015.1/4","대전광역시","여자","60세이상",29
"2015.1/4","울산광역시","남자","20 - 29세",40
"2015.1/4","울산광역시","남자","30 - 39세",93
"2015.1/4","울산광역시","남자","40 - 49세",103
"2015.1/4","울산광역시","남자","50 - 59세",95
"2015.1/4","울산광역시","남자","60세이상",34
"2015.1/4","울산광역시","여자","20 - 29세",32
"2015.1/4","울산광역시","여자","30 - 39세",35
"2015.1/4","울산광역시","여자","40 - 49세",58
"2015.1/4","울산광역시","여자","50 - 59세",45
"2015.1/4","울산광역시","여자","60세이상",17
"2015.1/4","세종특별자치시","남자","20 - 29세",-
"2015.1/4","세종특별자치시","남자","30 - 39세",-
"2015.1/4","세종특별자치시","남자","40 - 49세",-
"2015.1/4","세종특별자치시","남자","50 - 59세",-
"2015.1/4","세종특별자치시","남자","60세이상",-
"2015.1/4","세종특별자치시","여자","20 - 29세",-
"2015.1/4","세종특별자치시","여자","30 - 39세",-
"2015.1/4","세종특별자치시","여자","40 - 49세",-
"2015.1/4","세종특별자치시","여자","50 - 59세",-
"2015.1/4","세종특별자치시","여자","60세이상",-
"2015.1/4","경기도","남자","20 - 29세",451
"2015.1/4","경기도","남자","30 - 39세",954
"2015.1/4","경기도","남자","40 - 49세",1078
"2015.1/4","경기도","남자","50 - 59세",828
"2015.1/4","경기도","남자","60세이상",373
"2015.1/4","경기도","여자","20 - 29세",487
"2015.1/4","경기도","여자","30 - 39세",523
"2015.1/4","경기도","여자","40 - 49세",739
"2015.1/4","경기도","여자","50 - 59세",552
"2015.1/4","경기도","여자","60세이상",223
"2015.1/4","강원도","남자","20 - 29세",34
"2015.1/4","강원도","남자","30 - 39세",76
"2015.1/4","강원도","남자","40 - 49세",107
"2015.1/4","강원도","남자","50 - 59세",101
"2015.1/4","강원도","남자","60세이상",58
"2015.1/4","강원도","여자","20 - 29세",37
"2015.1/4","강원도","여자","30 - 39세",54
"2015.1/4","강원도","여자","40 - 49세",84
"2015.1/4","강원도","여자","50 - 59세",76
